evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.2743861675 1.812946 1.216372 2.891247 3.973915 -3.765129 4.550170 -2.059624 4.004365 -1.747337 -2.990757 -4.303710 -0.081693 -2.434017 -1.065668 -3.401396
2 2.4247272015 -2.738136 1.419765 -4.908376 0.653221 -2.526249 3.961174 0.421199 0.933827 -4.244757 2.098632 -1.602084 -1.462888 -2.315887 0.464714 -1.470666
3 2.0169546604 -1.203314 0.591137 1.847417 -3.062243 0.327744 -4.918155 -0.235877 2.934586 -2.777245 -3.457180 2.344634 3.450140 2.318653 -0.885538 4.446665
4 2.2848443985 -2.392748 3.625357 4.299212 2.162790 -0.438582 -2.141504 -3.023784 -2.720421 1.280050 -3.748676 -2.323140 -2.683415 2.358908 -1.730420 3.106917
5 2.2165536880 -2.806805 0.397282 -0.214516 -0.389412 -2.968583 -2.777478 3.710430 -4.578503 2.594646 -4.661893 0.997495 3.187219 -1.762726 -1.358103 2.726941
6 1.8890646696 -3.969661 4.561439 2.251226 4.992433 4.517644 0.351440 -2.582578 0.117293 4.900676 1.596368 1.055359 1.183136 -3.615901 4.469141 1.136258
7 2.1429455280 -0.007471 4.156149 0.151060 -2.655074 0.619219 0.572866 1.758295 -3.889110 -0.424956 1.390784 2.012302 -4.986927 -3.344678 0.682655 0.201226
8 2.0072326660 4.535816 4.967961 -4.487582 0.193324 2.887234 4.269780 0.107985 -4.286446 4.456341 -0.762006 4.237392 0.987631 -2.039668 0.786894 -1.087514
9 2.5362961292 1.490317 1.782993 -3.644648 3.532656 1.997618 -0.858134 1.170020 1.312925 0.222579 -4.066079 -1.373363 1.649384 -4.836288 2.223253 -0.882632
10 2.0795819759 3.914153 2.218668 0.805081 -3.692461 2.604996 3.445174 4.986011 3.166260 -4.694313 -0.021901 2.299831 4.269268 -0.899227 4.308732 -3.973987
11 1.8113915920 3.170176 -0.802383 1.613928 3.133050 4.807795 1.900587 -4.658334 -2.150733 -2.990310 3.998359 4.379269 -1.106403 -1.635231 3.219408 -3.718894
12 2.3157646656 -0.790909 2.414092 3.142924 0.082748 -0.176503 -2.789644 -4.081279 -1.056406 -1.584795 0.201398 0.639947 2.010168 1.850175 1.353177 4.995623
13 2.2127130032 -1.720636 -0.144614 -2.707384 1.198396 -4.264603 -3.846088 2.205413 4.830658 3.121729 -2.477785 1.832648 3.749320 -0.057478 -0.611325 3.515770
14 1.6907293797 -4.875538 -2.278480 3.715642 1.987800 3.197158 -4.473632 2.912086 -0.891183 1.517638 4.183017 -0.203564 -3.857573 -2.798191 0.285788 2.512992
15 1.9094096422 3.523507 0.908503 -0.612132 -2.465991 0.803064 -3.994825 2.660257 -1.223617 -1.165533 0.816825 3.572919 -2.139217 -4.146989 1.535428 3.940812
16 2.4933712482 -0.572409 3.291698 -0.973786 1.874374 3.331039 1.738227 4.166944 1.570343 -3.466675 -2.329792 -1.942060 1.851053 0.403952 1.738684 -1.384294
17 1.7718509436 -4.393752 2.614496 -2.408114 -4.118179 2.114494 1.522089 4.439428 3.488730 -4.439564 3.523842 -4.834970 -1.434617 4.415273 -4.954229 0.347532
18 2.0452594757 2.967872 -2.608706 -3.180853 4.378683 3.824898 -0.351100 -4.476958 4.253447 2.511811 -4.126797 -2.842837 -0.455699 -4.365775 1.958766 -3.178051
19 1.9401065111 2.524707 -1.550210 -1.628599 -4.625800 4.312555 -0.226161 -3.801457 -0.186698 -0.262382 -1.730778 -4.571234 2.975434 4.308078 -3.956300 4.658587
20 2.3805770874 -0.239906 -2.485671 3.662636 -2.842162 1.513093 -2.413913 -0.718989 -0.600088 4.058598 4.439635 -3.949724 -0.801653 1.309770 -4.697388 1.722430
21 2.1042394638 2.756690 -4.361750 -3.692180 3.878498 -1.206472 -0.043042 -1.002439 4.587044 0.526587 -2.624341 3.858769 2.208930 0.578374 -3.757179 0.801949
22 2.1198639870 -3.115688 3.934292 -4.721833 -4.341156 -4.714419 1.397840 -0.837106 -3.270007 -0.860945 -0.186761 2.840716 -3.897188 -0.258640 -1.649788 -2.802957
23 2.3084101677 -3.519028 -1.930267 -1.748441 -0.633464 -2.685087 2.286961 1.540707 0.334941 2.271367 2.794296 4.627899 -2.917510 3.827618 1.177115 1.905744
24 1.8233671188 -4.670507 -4.730546 -1.441289 -0.960216 1.003934 0.819573 2.473129 -1.750515 -0.634197 0.439998 -0.791266 -4.445167 -1.240324 -2.096940 3.367195
25 2.4468953609 -1.489502 -1.794645 -0.394856 1.406376 3.905433 -4.683108 -3.372548 2.580283 -3.250715 -1.213613 -1.735813 1.322123 -0.363776 -2.489618 -0.068912
26 2.4929566383 1.111014 3.133819 3.286950 -0.190413 2.383035 -3.305162 -1.586411 -1.965968 -1.974812 -1.284307 -3.579388 2.540135 -3.733078 0.073742 -0.252874
27 1.9588474035 -3.297243 -0.073105 -3.416660 -3.901829 -1.517934 -0.727286 -1.774082 4.350575 -4.916258 2.392286 -1.013541 3.270993 1.148577 -3.417700 -4.898818
28 2.1798491478 -3.821637 3.744050 0.641985 3.278370 -0.880764 0.183644 -1.263046 -4.539538 2.842149 0.688099 -3.750773 -1.694047 4.909566 -2.593112 -3.597586
29 2.0254352093 -4.213450 -4.959786 4.878299 -1.406933 -2.196648 2.402205 -0.348386 2.089869 1.794811 1.073931 -0.577215 -3.467318 1.481286 -0.475719 -2.611803
30 2.2681710720 1.322493 -0.372081 -2.157146 -4.833964 -4.340507 3.790182 -4.906750 2.319660 0.950659 -4.370706 2.603627 -4.623755 4.003775 4.951350 -0.375487
31 2.4558045864 -0.449191 0.126803 -0.028560 -1.754600 -4.086912 4.631642 3.644327 1.157124 4.201681 2.304337 -3.060269 -2.079564 4.698995 4.629139 -2.505574
32 2.2512457371 0.429064 -3.728993 2.598345 0.490434 -3.300149 3.380400 4.594432 -2.780036 -2.242936 2.665040 -3.435375 -2.351007 1.997946 3.658786 -4.244116
33 2.2561330795 2.142527 -1.404149 4.590563 2.470108 -1.249101 2.576958 -2.173097 3.430580 -3.158273 1.751266 3.433300 -3.266904 -4.642078 -4.520297 -2.177540
34 1.8105955124 4.913971 2.097339 1.262469 2.883637 -3.639833 1.053435 -4.178777 -3.466228 3.840530 -3.192740 1.244250 4.047311 -1.004467 3.753225 2.245662
35 1.8010392189 4.597487 -2.982140 4.057518 0.877823 -0.670794 -4.145062 0.956279 -3.783670 3.365111 -4.864888 -0.089923 4.677274 3.288862 3.419859 1.619014
36 2.1946115494 1.893677 -3.552999 2.385257 -2.166520 -4.831199 -1.231619 2.035547 2.504010 0.719771 3.727724 0.157838 -3.156743 -2.663636 -4.261160 -4.661442
37 2.3135316372 -1.279676 -3.007060 1.016811 4.201054 -0.025368 4.841897 3.146060 1.707879 -0.004248 3.441486 -0.412688 0.341059 -3.997372 2.391716 -4.446436
38 2.5329203606 0.602819 -3.946042 -4.332123 4.661451 0.370731 -1.802531 -3.580631 0.597002 2.021174 -1.918236 -2.726970 2.776375 2.624545 -3.652982 -2.070264
39 2.2255249023 0.192036 -4.303823 -4.063547 -1.214199 3.511830 -3.071028 3.281028 0.088945 -2.519385 -1.618730 4.901682 0.755454 3.062856 -0.314625 4.301810
40 2.1092994213 -1.906548 4.524202 -1.031156 2.727201 -3.080302 -2.045043 0.721711 -4.859517 3.505702 4.784646 4.024684 0.178464 3.514051 4.026874 1.392431
41 2.0481958389 3.235933 1.540863 4.480801 1.648030 1.737846 3.046135 -2.785415 -2.405278 4.642381 -0.367585 3.155247 4.934975 -0.667428 2.832268 2.829322
42 2.4237656593 -2.237286 -0.761006 -1.999881 -3.320320 -1.908573 -1.461292 1.309849 3.692681 -3.855073 -3.330291 -4.484944 -4.253348 2.852872 -2.886902 -1.769237
43 1.8795322180 4.158280 -3.344014 0.378051 -1.462364 -1.678443 -3.592083 0.161375 -0.547086 -1.313472 4.746271 1.462699 -0.690448 0.990073 2.585823 0.748666
44 1.9877673388 3.879598 -1.081847 -2.966177 -3.446519 4.647403 2.860985 4.031195 -3.049164 1.038559 -0.804632 -2.371968 4.440867 -3.010101 -3.154343 3.787122
45 2.3405783176 0.987944 2.845803 1.994802 -2.061370 1.438670 -1.189112 -2.549497 -1.647387 -3.911662 3.066848 0.466883 -0.112540 0.207958 -2.234229 -0.575108
46 1.6142032146 -4.855228 -4.441502 -0.755940 3.340931 4.547408 -4.928218 -0.177244 -2.547739 -1.491521 0.140665 0.909891 -2.701822 -2.532518 -2.251191 4.950340
47 1.8059737682 -4.970788 -0.467152 -1.423687 1.557396 1.229375 -3.676442 -1.388862 1.907052 3.099839 4.270576 -1.523373 -0.160945 -0.856309 -0.545108 1.258314
48 1.7608779669 -4.947234 -3.626702 -1.318651 1.833751 -0.691723 -4.481878 4.334838 2.273568 3.593335 -0.921148 -0.328333 -3.949711 1.259173 1.339645 -0.885640
49 1.6499506235 -4.803792 1.110699 2.596989 3.036408 1.168504 -4.336248 3.492040 -2.559634 -3.857939 0.991521 2.136103 -4.075023 0.687913 -2.376777 2.597115
50 1.7305728197 -4.660046 3.643338 0.372204 0.873794 0.716285 -4.142369 -1.214240 -1.726757 4.752652 -1.542945 2.143058 -4.776658 -4.030095 3.110902 3.032040
51 1.6465234756 -4.966517 -0.252340 4.265699 2.115869 1.107643 -2.421272 -2.559985 -0.738763 -4.988953 0.812398 2.607433 -0.126169 -2.950088 1.251890 0.747182
52 1.8468018770 -4.784096 -0.428024 -3.697453 2.145099 2.873699 -2.812129 -4.071780 0.555217 -3.016248 -3.918616 -0.028952 -2.707767 -3.014081 -2.379726 4.513335
53 1.6855030060 -4.929123 -2.870365 -3.341202 4.935718 2.814863 -1.806525 2.950150 -4.885190 -2.696457 -2.940632 3.113447 -4.311506 2.415234 2.095243 0.027372
54 1.6363675594 -4.716135 1.004574 -3.890778 4.429865 3.191024 -1.892234 1.067012 -4.512163 -3.784588 -1.289658 1.683669 -4.925025 -1.661129 -1.680925 0.126851
55 1.6060580015 -4.855264 -1.911358 4.618592 3.229210 3.833052 -4.315148 -2.016649 -0.440367 -3.260132 -0.504253 2.486739 0.830024 1.464596 -2.003569 3.860919
