evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 3.2415095545 -0.221279 1.769659 -2.564139 2.071706 1.658057 0.362561 4.585663 0.534748 1.180328 4.669967 -4.715556 -2.390914 1.984927 -4.120118 1.796588
2 2.0606345206 -3.466103 -0.581168 -4.635061 -2.902532 -3.640259 -1.835545 1.418471 1.448673 -0.857757 -0.510901 1.707882 -2.057997 -2.771991 4.819581 0.032553
3 1.5754710907 -3.752321 -3.071556 4.582652 -3.425783 0.208959 -4.135898 -3.022813 -1.458147 0.985904 4.055444 -2.576825 3.385673 -4.247920 1.062919 0.328847
4 2.0743883843 -1.729331 4.057304 1.673893 1.665778 -0.157740 -2.833688 2.963813 0.289780 2.792131 -1.816381 -1.645241 -1.766865 0.143235 -2.804607 -4.977034
5 1.7145147554 -4.745387 4.843508 -0.643777 -0.579258 3.008605 1.126927 -0.839839 3.439083 -0.381101 2.895365 3.566836 3.835819 0.899958 -1.453005 3.088363
6 2.7250590814 1.460648 0.100910 -4.479822 2.794405 -2.834992 -4.714668 4.920954 2.452112 3.622676 4.246586 4.349503 -1.047054 -3.494062 1.775157 -2.866820
7 1.8045957315 3.767211 -0.506960 3.518528 2.531438 3.219428 3.199655 1.048563 -3.301789 4.979432 -3.445229 -0.415140 -3.787461 -3.548813 -0.840476 -2.784456
8 2.2524357222 -1.393562 0.727090 3.263493 -1.877568 1.762198 -2.279434 3.157689 1.148207 3.911302 4.329834 2.205353 1.459649 -3.822440 -0.037674 1.265342
9 1.7980125487 -4.687895 0.390779 -2.071333 1.866084 4.143446 -3.173881 -1.368497 -2.102516 3.863619 1.720279 1.344936 3.471592 -2.342487 4.003276 -4.110800
10 2.0675670732 1.748829 3.421697 -1.538172 -4.947583 2.235583 -0.807868 1.678070 0.851204 1.892454 4.779865 1.458153 0.258907 2.779839 2.565106 3.014324
