evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.9265091121 3.332155 4.417922 -4.335873 -1.603677 1.758635 3.186312 -4.416234 -2.481061 -4.341193 2.527861 2.652078 -2.151777 3.501087 3.624167 -0.101912
2 2.5416725402 2.447787 -0.707587 -3.871160 -4.468493 0.603028 0.809585 0.977634 -0.240057 2.331837 -1.357785 -2.551416 3.389640 -3.189615 -1.345063 3.423652
3 1.7056798144 -4.196032 -1.952878 1.756117 2.480661 2.605640 -2.217954 0.025441 -3.078904 1.724061 -3.494774 -4.252584 3.539866 -4.885072 4.940258 2.548371
4 2.7876782591 0.857311 -3.811862 1.393963 3.750561 -1.061760 4.644635 -0.863980 0.017548 -3.359071 4.670012 3.860228 -3.400726 -2.343958 2.707685 0.940181
5 2.5707568503 1.186429 -3.980515 3.867787 1.162529 0.239096 -4.563423 -4.184626 2.340284 3.186163 4.936140 0.978907 -3.788566 -4.214623 -4.799741 4.447457
6 1.7602814112 -3.384434 3.089972 -1.150519 4.047628 -2.161804 4.281001 4.396494 4.164534 -0.115438 -1.051233 -3.402866 -0.803572 -2.726077 3.398213 1.661841
7 2.7727568160 0.725177 -2.397506 3.070544 -3.108000 3.591872 -0.230206 -1.325783 0.326715 -4.747368 0.963176 2.953655 3.119607 0.001381 2.334716 -3.659762
8 1.6461309237 -4.030926 -4.397785 -0.278616 -3.477631 -4.465542 3.551750 -1.142751 1.594261 -2.440533 4.415999 -0.493430 2.669125 3.106926 -0.886240 -0.120360
9 2.0650186905 -1.814317 -1.784851 -1.925013 -2.367196 -1.785311 0.042822 -3.117756 4.841337 -4.842107 -4.667532 -0.802871 2.451391 0.819656 -3.000577 2.625919
10 1.6569323544 -4.956472 -1.476487 -0.649168 -3.762480 -3.734820 2.692267 -1.792938 -3.416560 2.656964 0.018869 3.024279 1.273462 -3.869693 2.200107 -2.279613
11 3.7708694018 0.304877 4.022592 4.327565 -0.138035 1.344861 0.292503 -2.496501 1.344469 -0.903445 -4.838861 3.397225 4.046397 2.704197 2.822362 -3.303655
12 2.2835401017 -1.304312 -3.324622 2.730702 2.988091 -2.059863 -3.142480 4.871797 -1.160195 0.732701 -3.221764 -4.959404 -0.457046 1.012791 3.973644 -4.085772
13 2.4494807945 1.262595 0.538691 3.632124 -1.384780 -0.393550 -1.038421 3.022291 3.298056 -3.993548 -1.607243 0.322520 -2.014820 -3.902632 -1.039844 -2.049234
14 1.9863497591 2.580563 -4.594623 -1.236877 4.203226 -3.946146 1.047265 2.080797 -1.657981 4.157199 -0.726634 -0.162266 -3.964978 3.886699 4.676225 -0.656560
15 3.7254746399 0.531537 -0.434344 2.811077 1.809092 4.548727 2.958424 2.931794 1.860837 -0.598571 2.687650 -2.175965 -3.509155 -0.783340 1.432250 4.305775
16 1.8478783549 3.779698 2.516847 0.374609 4.725159 -3.394589 1.686347 4.675522 2.164260 -1.784815 1.277364 -4.372683 3.749841 0.144451 -0.583789 0.489484
17 1.7912553356 -3.698923 -1.086141 -3.557912 0.077668 2.282374 1.933508 -2.715809 0.559622 1.206305 4.030917 4.279880 -4.121724 0.385791 3.799938 0.277160
18 1.8830421747 -2.747659 1.942917 -2.420335 0.490971 4.586028 -3.629967 -3.494324 -0.945745 0.010068 -1.836026 3.575219 0.650544 -0.549546 -0.359945 4.108113
19 2.2610252226 -2.496318 -2.948803 -3.900618 3.262508 1.084700 -0.699441 1.077926 -3.612966 3.962198 2.785344 -3.762271 -1.648827 -2.210135 0.851940 -4.646604
20 1.8428120291 4.680974 3.324444 1.497111 0.950438 -4.160628 -3.713650 3.871264 -0.554864 -3.650133 -3.322925 -1.916571 2.264570 0.598367 -4.314508 1.994234
21 1.9370650043 4.060852 1.517236 2.141844 -1.106913 -2.667206 -1.509491 0.577055 -2.224295 4.627290 1.631973 -2.955994 -4.999619 1.744885 -2.385141 -4.386542
22 2.7954731625 -1.154315 -2.208367 -4.256224 4.928635 1.627513 0.769345 0.402527 2.677124 2.065365 3.167321 1.698594 1.671506 2.548421 -2.794891 -0.903180
23 1.9887510095 4.977340 1.182777 4.918260 1.418182 2.415400 -4.910492 -4.667494 4.036697 0.286109 0.416809 -0.692955 -2.605948 -1.872669 1.461695 2.815928
24 2.8186161243 -0.481948 2.611891 -1.509091 3.504786 2.969373 0.553651 1.839695 0.439476 3.711091 3.719231 -1.177816 -4.434552 -2.877690 -0.096725 -1.012481
25 2.0040374371 -2.079989 -4.116675 -0.422767 -0.848984 -2.824729 2.120148 2.190408 -2.805829 -1.499834 -4.061007 4.576540 -2.863867 1.392557 -4.382523 1.279166
26 2.3995116321 1.773961 2.880850 -4.600451 4.540678 -1.465312 -2.777490 -2.243205 -4.904958 -2.799944 -4.200264 2.007566 4.194783 4.298136 -2.077241 2.133038
