evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.7846375812 3.713556 0.796086 4.193708 2.409386 -0.852321 -0.018233 4.335712 -0.596051 4.039532 -3.688411 -0.684351 -1.366753 -2.391686 1.190990 -0.372284
2 2.0283433949 9.424888 -0.881408 6.775834 0.138703 8.301643 14.969164 20.388519 11.463061 -9.693635 -10.943586 -16.977957 11.235434 -5.612004 8.781078 -1.777062
3 2.1912994875 11.396116 2.604724 9.464399 -7.929210 -1.258988 23.068275 -9.760562 6.659844 11.741589 -9.505591 2.752266 -3.114665 1.097612 -2.699312 -5.606662
4 1.7919961560 -3.494447 -10.635045 -3.638581 0.315377 -2.276143 -1.229908 -8.595519 9.767450 20.355462 -3.347951 -4.121352 23.889175 20.513217 6.296118 0.187937
5 1.9343191253 -5.646510 -0.581856 -11.660532 -25.169230 -12.565977 -20.057611 29.370594 -2.546490 12.740125 -17.890691 2.680631 1.392200 -10.438311 -10.916124 -0.950306
6 2.3905131772 -1.590796 10.796618 5.463872 -7.489552 -8.501610 3.407569 15.529832 -2.979437 6.211179 -16.153485 -24.043773 -14.871201 -13.950897 -10.103453 5.885191
7 1.8377071128 4.111994 -2.727996 19.201997 2.007198 -7.568673 -3.573737 14.760990 -4.480077 18.246282 -8.318692 -19.707509 6.712818 4.921367 -3.624425 18.825294
8 1.8160376633 -2.408412 13.577966 16.931455 -11.175081 17.032534 -5.798362 7.016672 11.341423 -5.641390 -20.205174 -2.933754 -2.743410 11.147629 18.599383 -8.098496
9 2.0320899718 6.229260 -0.908694 -3.153248 -1.850384 -3.482247 8.736099 -16.576842 -7.307288 12.870489 -6.825390 -9.551714 -3.966762 0.702923 14.855780 -4.546922
10 1.8519388210 2.875683 3.397239 27.081847 9.374697 1.705802 14.610282 4.742080 -20.360816 12.839444 -2.035129 11.499671 6.243127 -2.103719 -5.534135 8.734848
11 2.0850597340 6.945835 2.578655 -7.381458 7.616032 -6.625259 -11.926408 -0.119778 -11.370405 15.482446 2.405748 0.427537 -4.555264 2.068741 -12.839806 12.603899
12 1.6101710938 -5.574431 -4.458220 1.766926 -5.171372 -1.221907 8.709207 5.320717 -3.520176 -16.927086 -8.408565 1.860623 -3.340147 5.424292 -8.625212 0.493320
13 2.2879555031 2.338592 -4.634736 2.853753 4.718723 6.389358 13.343932 14.472141 -5.101073 -1.320913 -15.889929 -15.130115 -7.842886 -15.504451 -20.380794 10.285666
14 2.3793356937 1.621994 -3.270953 8.619012 -18.020010 -11.276110 12.496038 3.519318 -5.735902 -19.515273 -25.130367 -12.885821 -8.266693 7.916777 -24.097234 10.301668
15 1.6575236187 -13.254069 -17.605045 6.322732 -8.908575 3.642178 2.941588 -0.984489 -3.280691 -20.942446 -27.173945 7.537288 -17.882075 3.466147 -3.372032 6.948842
16 2.1388849222 6.568518 0.946456 -18.256710 -8.998928 -18.934784 7.093212 -3.447469 -14.682672 -19.080629 -13.273675 6.938535 -5.942906 -2.254314 -15.848401 9.153687
17 1.8398783972 -2.752454 -6.921305 1.842822 0.658728 14.341865 4.913070 7.241243 -8.443337 -9.588822 -19.781755 4.188153 -0.048190 -0.046996 -10.507061 -2.558476
18 1.9246017858 -8.368666 0.497343 -7.609309 -7.350394 -7.808232 14.563724 1.391401 -8.791277 -16.632690 -10.837154 11.317682 5.325531 3.116360 -4.780867 2.100191
19 1.8657734256 -8.851009 -17.378180 -5.077902 3.744097 -6.256709 3.587617 7.953204 -14.004069 -15.181620 -5.803639 14.024085 0.168495 -4.596034 -3.485562 -6.038935
20 1.9772735427 3.543545 -7.963873 -2.968701 -9.575136 0.231399 9.499175 5.465412 -3.594557 -24.819414 -10.584802 8.651346 3.173931 5.212057 -23.838039 8.461099
