evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.5983119607 0.963038 -3.856932 2.148055 0.989235 -1.459576 0.977961 0.188084 -4.606542 -0.384648 -4.935300 2.146767 -0.018800 -0.939804 4.413635 -1.193600
2 2.2384342403 2.717211 3.859552 2.249431 4.330164 4.768379 -1.606365 -2.316601 1.613529 0.769799 -3.764135 2.893610 -0.416882 -4.784668 3.684122 4.533490
3 2.4562412137 -1.498876 -0.704729 4.939645 0.470518 -3.441950 -0.867473 -4.297529 -4.817331 -3.497584 1.762741 -1.602325 -3.658666 -4.214990 3.732267 -2.091565
4 2.2445839030 -2.548683 2.950418 -0.775021 4.641074 -0.139284 1.813099 -3.306136 0.572775 -4.068825 3.573635 1.226559 -1.863970 -1.743213 2.238307 -1.391994
5 2.3029988637 2.822039 4.532504 -3.548921 -2.425242 -0.168321 0.855168 -4.579939 0.812443 0.316167 -0.138207 -2.842945 4.504471 3.273154 -1.742597 3.505862
6 1.6914917890 -3.626056 -0.144932 4.092071 4.129298 3.533503 4.944628 4.068973 -2.608632 -1.078180 -1.158084 -0.263049 2.229594 2.176835 3.965534 0.004254
7 2.0319693427 3.446323 -0.836850 2.295725 1.707010 1.166155 -0.183763 1.626144 0.626043 -2.194456 -3.836400 -0.101551 3.733208 0.787255 1.732765 3.545769
8 1.7299222683 -4.212041 -3.621535 -1.150659 2.439077 4.221593 -2.120455 3.636540 -1.130633 -4.135338 -1.678181 3.883655 1.387913 -0.045653 4.162263 -3.277809
9 1.4923228388 4.743029 0.096711 -1.047974 1.020178 1.433328 0.330239 0.144360 3.845370 3.759738 -4.430025 -0.923827 -4.682000 0.156697 -2.913235 -4.448576
10 2.8593701687 0.932402 3.404998 -4.747475 0.779574 1.262523 2.648777 1.474380 -1.062589 0.920938 0.456233 -0.133624 -0.371545 4.966487 3.336948 -4.629964
11 2.2689133260 -1.733363 -4.732643 1.887884 -4.099569 1.356020 -1.855192 4.005092 0.099570 4.374550 -4.620303 -4.161049 3.853966 1.555306 -3.848988 -2.730680
12 2.5214173723 -0.383108 1.550854 0.272881 2.654293 -0.803212 2.410558 -1.882766 -1.163799 -1.683976 -4.027440 -2.781513 -3.741622 1.165841 -2.820476 -1.469542
13 2.0443150015 3.128035 -2.270995 1.701963 -4.981871 -1.577704 -3.853601 -1.795910 2.808593 3.227758 3.453291 -3.445196 -4.457499 0.313848 1.634926 -0.368141
14 1.8622782164 4.472695 -2.741242 -3.584497 -1.732122 3.622066 -4.087504 0.625958 -3.231993 -3.575558 -4.777787 2.418825 2.308397 -3.605701 -0.399735 4.748469
15 2.1752332047 -0.981188 -1.744151 1.083801 4.092819 -2.956239 -2.726157 3.377497 -2.124419 4.208450 3.300852 2.727905 -1.172512 -3.714332 -4.978989 4.501630
16 2.5384640272 1.949006 2.249988 -3.397427 1.450241 3.723525 4.737864 -2.532527 1.248755 2.300698 -3.683199 4.839948 3.311989 -1.392306 4.116570 -4.665498
17 1.3336208228 -4.606929 -0.528811 1.260061 4.489298 2.178701 4.154778 -1.943698 -2.762143 3.546249 2.213959 -4.092601 -1.576549 4.709866 -2.349185 -3.396178
18 2.5632896688 -1.317066 -0.638560 -4.390412 -3.911579 1.101367 -3.768860 3.077451 4.372907 2.855145 1.983383 4.182924 -2.588131 3.768241 -4.112618 4.938557
19 2.3649947862 -0.545828 2.731343 3.894461 -4.467279 -0.355943 4.180329 0.874667 2.064081 4.114408 3.968310 -3.226594 3.984588 -2.244920 -1.004294 0.692875
20 1.3995626913 -4.456951 2.508961 -1.593646 -3.962861 -0.735360 1.222488 -4.682561 4.544919 0.401316 -3.514728 0.691015 1.710761 -3.959599 3.443459 -3.509026
21 2.5128370453 -1.272789 -3.026589 -2.225065 -2.381248 -4.127838 1.158304 3.310202 -4.317408 -3.677559 2.849047 -2.522271 -0.543967 -1.276233 0.824141 -2.684401
22 2.6344810854 -2.002880 3.481780 -4.039118 -1.261207 -0.456314 -1.090903 4.421842 0.359474 -4.597852 -0.868034 0.897963 -0.868173 -1.507588 -2.161624 -2.822847
23 1.9044944463 2.675417 2.442134 -1.484696 3.372058 -3.307424 -2.664114 -1.069054 0.257529 -2.754328 4.632605 2.219657 4.207866 4.898285 -3.951375 4.034716
24 1.9106656177 3.280366 -0.243766 -1.957444 4.512428 -1.321455 3.760626 4.255260 -2.059876 1.576701 4.277641 4.897442 -3.121719 -4.034904 0.469167 1.592687
25 2.6700575555 0.186267 4.117719 -1.300430 -0.282000 4.838090 -4.065371 -2.282275 -2.698528 -0.150095 -4.675109 3.389195 -3.417623 -4.836833 -1.538724 -4.905962
