evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.5311530023 -1.629932 2.452477 2.170968 0.065464 3.838752 1.468088 -3.386642 -3.462584 4.876987 0.060594 2.741842 -3.281832 -1.454990 -4.883480 4.222190
2 2.1308187003 -5.875634 4.828635 3.678029 -2.355562 7.827354 5.444926 -11.968001 -4.662791 17.497233 -4.249668 4.525167 -8.085279 -2.810996 -8.948642 6.215113
3 2.7603249536 -2.614200 15.925450 2.030340 22.037624 4.805387 -1.620849 -10.607974 -7.145235 29.314045 -24.603651 10.662900 -27.139787 3.984780 -0.674988 -7.187436
4 -15.1157018956 -10.335417 9.431975 1.057810 -38.860261 4.696831 -5.624389 -18.215168 -8.675920 31.189848 -5.627085 -9.776559 -5.032769 0.505622 -10.198323 15.946893
5 -24.4788856575 -10.015946 13.538317 4.766450 -55.686304 0.195448 4.240726 -6.238743 -3.846094 36.135192 -2.341494 4.808265 -3.618688 -10.196866 -6.205132 20.447345
6 -20.1286947296 -0.576912 11.258379 -3.567542 -53.286828 2.526477 21.203120 -11.668035 -14.961067 20.727919 -6.687552 -1.694749 -8.995131 -8.216601 -14.784990 18.907007
7 -38.4205620476 -18.627889 18.190403 8.280450 -53.495451 -0.952705 -6.539008 -18.455074 14.118205 42.157435 8.220619 -11.043631 -1.075835 -9.926321 -9.386968 11.824518
8 -37.9199671975 -20.401650 14.601318 13.474116 -62.418121 9.363096 -16.681497 -34.111548 7.764716 28.513748 14.687172 -2.651908 -10.949962 -7.170245 -9.838672 10.103416
9 -46.8741763512 -22.639428 21.990885 -1.793525 -49.439756 3.611748 -17.407498 -2.483913 1.018645 47.807664 18.408872 -10.509928 -12.979718 -1.401314 -3.648383 8.645919
10 -163.3886631423 -45.257882 29.048270 -0.503886 -47.308943 -5.506340 -6.245978 -8.251994 10.256330 73.020981 22.266648 -28.754928 -17.024704 -1.700603 9.023847 1.136975
11 -223.3074695618 -54.862057 30.883103 14.681538 -49.788843 2.811022 -8.720525 -33.227986 5.247685 76.197784 26.315446 -25.765753 -13.945527 4.205394 0.673226 -2.058239
12 -94.5795915257 -28.417515 29.534790 23.918954 -54.593370 12.425199 -5.036497 -45.760012 20.523815 68.062604 35.046182 -29.373423 -20.047515 6.941681 11.175754 -10.523728
13 -209.0939602630 -54.366497 26.888666 23.162931 -50.885525 -4.807156 -3.864744 -36.080148 14.189284 58.247517 43.205590 -39.852563 -8.748648 -8.624845 -13.514473 -1.927641
14 -173.7020856002 -47.765587 37.134072 21.927966 -39.210894 5.675008 3.353694 -39.072473 14.056328 63.276336 29.449985 -39.053846 -11.954265 8.552453 1.279296 21.833694
15 -297.3086813867 -66.317468 37.280788 14.602173 -52.710729 9.743845 -7.513453 -27.321605 23.371810 58.527169 26.558177 -32.827555 -15.772187 10.535729 6.826089 6.545958
16 -291.6253643724 -62.346806 42.935345 13.595425 -66.656270 -5.787188 -6.019404 -33.076561 22.345399 54.982098 20.995730 -23.951576 5.022473 12.573143 2.548720 6.816724
17 -301.3038093220 -59.401386 64.855216 27.627932 -61.470657 6.788269 3.370496 -17.895392 21.989135 66.994547 32.043005 -43.339418 -4.417643 17.846497 29.271234 12.118436
18 -230.2127597721 -42.948833 61.871623 19.798283 -71.527627 12.393948 14.839737 -9.217027 17.041645 82.335010 25.386353 -63.611896 0.351203 31.149475 38.766256 -1.615888
19 -287.1791858013 -50.174737 89.535992 50.686972 -63.632214 31.227888 7.586389 -31.889949 5.599800 56.116717 16.209915 -62.633405 0.919690 -1.545174 3.833301 24.006131
20 -226.7576127283 -48.071681 60.187491 22.367719 -61.617914 9.554485 19.910020 -14.984150 26.214196 65.069050 34.021225 -37.892575 -11.462223 -15.590082 31.181312 6.659517
21 -301.1213816476 -56.849304 61.519138 42.941272 -56.990003 22.927569 10.952674 -26.977660 18.197530 77.503371 30.482717 -60.733610 5.264920 30.611107 17.956551 9.744141
22 -255.7268586675 -51.815767 59.784531 15.224184 -61.988097 -17.991855 10.095902 -6.945702 10.014375 76.648722 46.702536 -52.547909 -10.047037 23.629211 6.872729 20.675278
23 -254.9063459073 -52.499336 37.463692 8.491076 -64.463942 3.169251 15.071307 -32.096581 31.234389 60.996532 36.867613 -57.740467 -17.579840 5.609451 33.068815 23.019529
24 -268.8635773393 -51.533699 51.214617 28.995838 -62.423666 7.442744 18.707108 -3.080711 0.390640 77.687936 31.948499 -54.305263 -8.771248 26.098762 56.962768 10.167050
25 -305.1366555582 -56.465854 62.181613 30.250590 -46.585518 1.421955 8.296811 -20.430350 17.596352 63.017765 62.694653 -50.701583 -1.242513 3.092283 50.471313 31.804306
26 -352.5875740138 -53.393662 72.872637 19.708556 -71.683463 -6.253060 10.905323 -25.347005 -5.721014 61.175434 63.568806 -44.807740 24.860045 34.201237 55.495725 30.823319
27 -415.6652773199 -64.105578 72.311477 19.284119 -73.960568 2.611345 -11.787055 -24.932252 8.867203 69.925581 70.313721 -32.070852 35.161145 13.982995 54.685608 34.207372
28 -379.4972625236 -49.368035 64.869636 32.925852 -83.365471 -1.046192 -10.173664 -30.152451 -3.476187 71.244346 76.438198 -20.397850 41.476681 5.783591 97.666831 38.053287
29 -327.0413957094 -54.120955 67.081043 7.741835 -69.187599 16.485096 -21.757258 -46.381687 10.617919 74.871714 79.052048 -35.480419 20.633187 7.498122 37.298716 40.481147
30 -360.1084847231 -60.174911 101.105832 1.949581 -49.366444 -14.987459 -8.081654 -13.646554 26.037435 69.575715 75.823954 -16.751459 36.730430 -4.557886 68.567813 49.582070
31 -400.8107088927 -54.632710 80.264604 12.982841 -71.959413 3.409851 2.374744 -49.466831 -3.291530 82.771341 34.115885 -52.350247 37.974261 -2.866398 38.239956 26.294893
32 -322.3685283209 -60.021983 73.537308 23.612676 -62.881642 -4.090528 -9.876962 2.133473 2.215689 70.456612 88.720602 -23.949159 11.472729 15.379049 59.302235 41.569567
33 -371.6401920875 -55.925597 65.189632 16.021340 -65.744471 14.516583 16.511530 -36.814237 17.530296 78.855318 82.448217 -32.707130 35.853461 -5.327377 64.420585 43.524199
34 -398.2826277866 -66.581664 79.743870 20.627215 -75.138381 -10.108967 1.303204 -17.518530 16.306431 69.148327 57.721473 -17.991698 15.542557 38.354824 49.374773 39.188271
35 -571.4626254593 -84.467869 81.797900 23.547817 -90.581950 16.529858 -14.398467 1.973458 3.016184 73.227482 80.488105 -30.592072 34.289368 14.456253 62.410672 51.431667
36 -820.1827569255 -103.946175 99.137217 17.691622 -96.878162 6.310276 -5.995820 6.972858 -2.799649 59.366100 61.294738 -43.609267 64.286854 6.466992 39.607746 42.037228
37 -970.0267952347 -117.652538 99.465649 24.952596 -105.156088 15.824989 30.828383 13.905756 0.781446 54.261433 78.276535 -45.420702 68.214762 -0.003741 15.046422 88.443726
38 -870.7690902233 -109.023914 81.917556 33.485379 -119.934496 22.939530 51.819097 12.796725 -10.251419 50.050185 93.577710 -51.570197 87.125715 20.063441 19.003642 95.815911
39 -1284.2154362633 -141.301385 73.093973 20.526564 -108.501290 -17.266128 11.058513 29.087516 -3.974822 21.922666 84.406067 -36.656170 77.568240 -8.086963 16.434949 87.776992
40 -899.7400133515 -119.179694 93.142889 15.153029 -78.696597 -9.886294 25.161681 33.049920 8.958748 48.198381 89.421080 -45.448005 66.039537 -5.816475 40.220545 110.840250
41 -1023.5634979737 -126.281865 54.715551 3.290588 -125.633504 -2.624493 45.125793 25.521725 -15.019958 40.932178 104.139192 -21.601218 95.352642 -9.318005 16.277455 98.971469
