evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.6211983854 -0.248928 -0.248928 0.248928 0.248928 -0.248928 0.248928 -0.248928 -0.248928 0.248928 -0.248928 0.248928 0.248928 -0.248928 -0.248928 -0.248928
2 2.6262198626 0.601231 0.601231 -0.601231 -0.601231 0.601231 -0.601231 0.601231 0.601231 -0.601231 0.601231 -0.601231 -0.601231 0.601231 0.601231 0.601231
3 1.6005902741 4.877833 4.877833 -4.877833 -4.877833 4.877833 -4.877833 4.877833 4.877833 -4.877833 4.877833 -4.877833 -4.877833 4.877833 4.877833 4.877833
4 1.5084094144 -4.605106 -4.605106 4.605106 4.605106 -4.605106 4.605106 -4.605106 -4.605106 4.605106 -4.605106 4.605106 4.605106 -4.605106 -4.605106 -4.605106
5 2.2624601967 -2.540968 -2.540968 2.540968 2.540968 -2.540968 2.540968 -2.540968 -2.540968 2.540968 -2.540968 2.540968 2.540968 -2.540968 -2.540968 -2.540968
6 2.3127257290 2.820915 2.820915 -2.820915 -2.820915 2.820915 -2.820915 2.820915 2.820915 -2.820915 2.820915 -2.820915 -2.820915 2.820915 2.820915 2.820915
7 2.4235212440 2.326088 2.326088 -2.326088 -2.326088 2.326088 -2.326088 2.326088 2.326088 -2.326088 2.326088 -2.326088 -2.326088 2.326088 2.326088 2.326088
8 2.3965781136 -1.981064 -1.981064 1.981064 1.981064 -1.981064 1.981064 -1.981064 -1.981064 1.981064 -1.981064 1.981064 1.981064 -1.981064 -1.981064 -1.981064
9 2.4523642997 -1.701131 -1.701131 1.701131 1.701131 -1.701131 1.701131 -1.701131 -1.701131 1.701131 -1.701131 1.701131 1.701131 -1.701131 -1.701131 -1.701131
10 2.5725975073 1.356181 1.356181 -1.356181 -1.356181 1.356181 -1.356181 1.356181 1.356181 -1.356181 1.356181 -1.356181 -1.356181 1.356181 1.356181 1.356181
11 2.2215646773 3.166006 3.166006 -3.166006 -3.166006 3.166006 -3.166006 3.166006 3.166006 -3.166006 3.166006 -3.166006 -3.166006 3.166006 3.166006 3.166006
12 1.9821141448 -3.446027 -3.446027 3.446027 3.446027 -3.446027 3.446027 -3.446027 -3.446027 3.446027 -3.446027 3.446027 3.446027 -3.446027 -3.446027 -3.446027
13 1.6659869123 -4.252870 -4.252870 4.252870 4.252870 -4.252870 4.252870 -4.252870 -4.252870 4.252870 -4.252870 4.252870 4.252870 -4.252870 -4.252870 -4.252870
14 1.9612351307 3.980218 3.980218 -3.980218 -3.980218 3.980218 -3.980218 3.980218 3.980218 -3.980218 3.980218 -3.980218 -3.980218 3.980218 3.980218 3.980218
15 2.6131515827 0.873970 0.873970 -0.873970 -0.873970 0.873970 -0.873970 0.873970 0.873970 -0.873970 0.873970 -0.873970 -0.873970 0.873970 0.873970 0.873970
16 2.5298057883 -1.226348 -1.226348 1.226348 1.226348 -1.226348 1.226348 -1.226348 -1.226348 1.226348 -1.226348 1.226348 1.226348 -1.226348 -1.226348 -1.226348
17 2.5891135130 -0.714216 -0.714216 0.714216 0.714216 -0.714216 0.714216 -0.714216 -0.714216 0.714216 -0.714216 0.714216 0.714216 -0.714216 -0.714216 -0.714216
18 2.5991640559 1.072382 1.072382 -1.072382 -1.072382 1.072382 -1.072382 1.072382 1.072382 -1.072382 1.072382 -1.072382 -1.072382 1.072382 1.072382 1.072382
19 1.9201247845 4.093106 4.093106 -4.093106 -4.093106 4.093106 -4.093106 4.093106 4.093106 -4.093106 4.093106 -4.093106 -4.093106 4.093106 4.093106 4.093106
20 1.8409102524 -3.826261 -3.826261 3.826261 3.826261 -3.826261 3.826261 -3.826261 -3.826261 3.826261 -3.826261 3.826261 3.826261 -3.826261 -3.826261 -3.826261
21 2.0243080385 -3.324540 -3.324540 3.324540 3.324540 -3.324540 3.324540 -3.324540 -3.324540 3.324540 -3.324540 3.324540 3.324540 -3.324540 -3.324540 -3.324540
22 2.0911078269 3.598772 3.598772 -3.598772 -3.598772 3.598772 -3.598772 3.598772 3.598772 -3.598772 3.598772 -3.598772 -3.598772 3.598772 3.598772 3.598772
