evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.1675707022 4.846248 -2.362605 -0.113989 4.501316 1.207797 -2.987693 -1.442909 -1.421524 -1.853240 -0.913422 -1.366483 4.202175 2.339268 0.737993 1.569923
2 2.1013064682 3.248813 -1.518902 -2.311104 3.908682 1.181407 -3.631373 -1.145982 -0.221555 -1.812848 -0.152985 -2.077118 4.289123 1.335111 1.522701 0.099985
3 1.2607980538 4.800997 -1.115513 -2.997897 4.913978 2.008835 -2.902409 -2.483105 -1.693441 -0.371529 -0.422625 -1.260133 4.729688 1.786465 -1.895736 -0.531692
4 1.2092967187 4.683894 -2.172246 -0.793067 4.641166 1.457652 -3.788146 -0.950399 -1.521954 -1.760552 -1.778446 -0.214581 2.736878 3.794639 0.311448 -1.984548
5 1.3136344141 4.828721 -2.726771 -3.836263 4.146375 1.130234 -1.134100 -1.347430 -1.700959 -0.947926 -0.963353 -1.585767 3.410911 2.344711 -0.583127 -0.981714
6 1.3446018229 4.958273 -0.773794 -2.700595 4.940298 0.378415 -3.427381 -1.683742 0.995267 0.272287 -0.335608 -1.094401 3.711806 1.431277 0.661839 -1.595377
7 1.7470308964 3.628091 -2.103300 -2.555671 4.891298 1.692236 -3.800721 0.489413 -1.605782 -1.888971 -1.501680 0.513639 4.038062 0.710913 1.413524 -0.667929
8 1.9156483605 3.099136 -1.190294 -1.329055 4.682183 1.946161 -2.954319 -0.543999 -1.508613 -0.653239 -0.145452 -2.033476 4.209973 2.324839 0.284474 0.919462
9 1.3660966560 4.011246 -2.497874 -1.786155 4.971276 1.104831 1.264533 -0.772881 -0.536678 -0.302953 -1.677249 -0.886586 4.094667 3.864522 -1.361873 0.504453
10 1.1916319670 4.740912 -1.509768 -1.742561 4.964731 1.470743 -3.417653 -1.402495 0.033485 -0.320936 -1.663877 -1.145349 4.192015 2.838936 -0.034426 0.895980
11 1.5105927466 4.126906 -3.830911 -0.160289 4.414736 3.182891 -2.828367 0.316257 -0.594930 -0.992924 -1.254840 -1.957617 3.970215 2.067622 0.543199 1.705576
12 1.3093230471 4.999975 -4.793759 -1.821216 3.383672 1.659298 -3.146260 -2.247646 -2.914830 -0.557891 -1.176049 -1.800359 4.973627 1.315133 -0.320331 0.097093
13 1.1288938945 4.519411 -1.794867 -1.216955 4.908864 1.757784 -2.860862 -3.153609 -0.844009 -1.514867 -0.170961 1.300362 4.326385 2.363483 0.785045 1.214972
14 1.0689258566 4.865430 -2.404318 -0.386947 4.626791 0.132920 -2.002947 -0.896146 -2.079065 -1.097640 -1.342502 -1.218177 4.269085 4.193074 0.863743 -2.190232
15 1.2571530090 4.949236 -1.005205 -2.377400 4.043270 0.770010 -3.248899 -2.228546 -1.858570 -0.228286 0.647580 0.673722 3.226193 0.998008 1.433390 1.992447
16 1.3777428612 4.971825 -1.536225 0.512823 3.228654 0.557867 -3.362846 -1.754899 -1.899478 -0.250930 -2.223119 -0.723870 4.586818 0.672851 -0.175754 -1.275812
17 1.3035648245 4.447253 -2.552461 -0.753515 4.873819 1.611360 -3.580419 -2.237313 -1.439992 -2.444352 -1.194109 -0.798416 2.963486 2.859982 -0.836613 1.249248
18 1.1383276518 4.903049 -1.642068 -0.557419 4.227847 0.554931 -2.676016 -1.528052 -1.726204 0.382620 -1.218815 -1.221666 4.335034 3.364577 -0.873825 0.265616
19 1.9811154957 3.091531 -3.562616 -0.154460 4.523614 1.274681 -4.661986 -2.070358 -1.136664 -1.296717 -1.865569 -2.233921 3.540810 2.329943 -1.429322 1.167704
20 1.1694371972 4.983070 -0.880779 -0.767003 3.573045 1.145692 -3.962641 -1.824191 0.571250 -0.771892 -1.202449 -0.652395 4.647523 3.044761 1.215803 -0.103482
21 1.1963512256 4.958961 -2.415342 -1.707789 4.974457 0.706414 -3.958599 -1.440821 -0.052826 -1.673430 -2.237341 -1.824877 3.848002 1.836746 -0.289041 1.463917
22 1.2431894335 4.521201 -2.601657 0.335571 4.999496 1.290152 -2.030950 -2.162880 -1.349134 -0.660184 -0.401624 -0.988681 3.936390 2.671624 1.976499 -0.378039
23 1.0965372041 4.905613 -2.767098 -0.568142 4.278065 0.351132 -3.369172 -0.453526 -0.593834 -0.259537 -1.816858 -0.179107 4.594225 2.526072 -1.130176 0.234703
24 1.4557146186 4.093936 -2.491722 0.739781 4.334945 2.460974 -2.348017 -0.645295 -0.927844 -0.220399 0.433711 0.054145 4.355036 1.967638 -1.346336 -1.335215
25 1.1436191619 4.806593 0.023140 0.329466 3.435133 0.949794 -2.992591 -1.248061 0.442107 -0.837838 -2.431338 -0.109218 4.354115 4.305454 1.395812 -0.865398
26 1.6306101306 3.685954 -2.955536 -0.773391 4.292781 1.711473 -3.440062 -2.411805 -3.067221 0.211491 -1.583053 -0.734715 4.901651 3.162574 0.063828 -0.842342
27 1.4583379437 3.965385 -2.877993 0.014288 4.455075 0.800937 -1.768889 -0.658987 -2.811506 -0.597585 -0.395682 -0.506773 4.998899 2.844533 0.939519 -0.104975
28 1.5151807141 4.061324 -2.804956 0.063431 3.954603 0.902680 -1.443415 -1.286076 -1.639196 -0.829057 -1.102291 -1.500637 4.814312 2.570861 1.632754 1.281532
