evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 2.3940072555 -1.430310 -2.806465 2.051865 -4.097107 4.001258 -1.611656 2.790076 2.789822 4.599591 2.432869 0.577646 4.365417 1.519373 2.460904 0.656042
2 1.5931508382 -4.836149 3.886365 -2.254767 3.489651 1.720038 -3.971193 -4.122627 0.978726 3.029523 4.644091 -3.686259 0.827708 0.414927 2.980600 3.987642
3 1.9582629646 -2.970391 0.846955 1.124566 -0.815715 1.939221 1.213969 -4.396312 -2.289626 -2.005839 -2.014914 -0.712096 -0.460483 -1.993753 0.677319 0.827083
4 2.9528283494 0.417459 4.620715 3.068267 -2.936601 2.128713 -0.009028 3.154266 2.615503 -3.000819 3.830793 -1.284780 -4.766843 1.338297 -1.818731 1.374315
5 1.9008121336 3.915087 4.352521 -3.348525 4.683633 -0.573992 1.494969 2.465329 3.553711 -0.261713 -0.651001 2.255411 0.476684 -0.493094 4.360010 -1.136522
6 1.5360410746 -4.553868 -1.949518 0.055687 3.372507 3.256916 -1.795358 -4.828600 1.489389 1.885610 -4.185955 -2.155178 0.308100 2.912033 -1.455995 -1.772640
7 2.3726204656 -4.682442 -3.533864 -4.809757 3.678503 3.188387 4.628717 4.988384 0.602316 0.819904 -1.441518 -1.899749 4.627583 -4.240770 3.399019 -2.218338
8 2.1222892714 3.343520 -4.151424 0.263087 -0.178324 -3.693270 2.627822 3.754655 -0.268841 1.254806 -4.823873 1.344662 2.598365 -3.628435 -4.204646 2.567326
9 2.0953418415 -3.339310 4.882929 -0.381562 -1.811604 3.607666 -2.286455 -1.298668 -0.518167 -1.420933 -3.651381 -0.909893 3.184756 -0.127492 3.554695 3.621005
10 2.7790990690 -1.508697 1.046444 -4.416802 -3.682234 0.908867 3.247991 -4.664261 0.328494 2.489376 -2.984278 2.777194 -1.866679 3.570570 -3.285381 -1.591734
11 1.4109440220 -4.162284 -0.711161 3.832167 -4.681964 -0.903963 2.917830 -4.066572 2.402206 4.520116 -1.028177 4.528170 -1.011019 -3.675860 -1.221965 1.447137
12 2.8080294481 -0.330925 3.915942 -0.164486 -2.505765 4.337804 -4.920293 -2.310749 -3.891202 -2.470502 1.082672 -3.036272 -1.622240 3.667224 -4.914343 -4.794209
