evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.7756478786 4.846248 -2.362605 -0.113989 4.501316 1.207797 -2.987693 -1.442909 -1.421524 -1.853240 -0.913422 -1.366483 4.202175 2.339268 0.737993 1.569923
2 1.8469399214 3.248813 -1.518902 -2.311104 3.908682 1.181407 -3.631373 -1.145982 -0.221555 -1.812848 -0.152985 -2.077118 4.289123 1.335111 1.522701 0.099985
3 1.7183567286 4.800997 -1.115513 -2.997897 4.913978 2.008835 -2.902409 -2.483105 -1.693441 -0.371529 -0.422625 -1.260133 4.729688 1.786465 -1.895736 -0.531692
4 1.7523843050 4.683894 -2.172246 -0.793067 4.641166 1.457652 -3.788146 -0.950399 -1.521954 -1.760552 -1.778446 -0.214581 2.736878 3.794639 0.311448 -1.984548
5 1.8447438478 4.828721 -2.726771 -3.836263 4.146375 1.130234 -1.134100 -1.347430 -1.700959 -0.947926 -0.963353 -1.585767 3.410911 2.344711 -0.583127 -0.981714
6 1.7984346151 4.958273 -0.773794 -2.700595 4.940298 0.378415 -3.427381 -1.683742 0.995267 0.272287 -0.335608 -1.094401 3.711806 1.431277 0.661839 -1.595377
7 1.8174344301 3.628091 -2.103300 -2.555671 4.891298 1.692236 -3.800721 0.489413 -1.605782 -1.888971 -1.501680 0.513639 4.038062 0.710913 1.413524 -0.667929
8 1.8059275150 3.099136 -1.190294 -1.329055 4.682183 1.946161 -2.954319 -0.543999 -1.508613 -0.653239 -0.145452 -2.033476 4.209973 2.324839 0.284474 0.919462
9 1.7339856625 4.011246 -2.497874 -1.786155 4.971276 1.104831 1.264533 -0.772881 -0.536678 -0.302953 -1.677249 -0.886586 4.094667 3.864522 -1.361873 0.504453
10 1.7162668705 4.740912 -1.509768 -1.742561 4.964731 1.470743 -3.417653 -1.402495 0.033485 -0.320936 -1.663877 -1.145349 4.192015 2.838936 -0.034426 0.895980
11 1.9001246691 4.126906 -3.830911 -0.160289 4.414736 3.182891 -2.828367 0.316257 -0.594930 -0.992924 -1.254840 -1.957617 3.970215 2.067622 0.543199 1.705576
12 1.9439572096 4.999975 -4.793759 -1.821216 3.383672 1.659298 -3.146260 -2.247646 -2.914830 -0.557891 -1.176049 -1.800359 4.973627 1.315133 -0.320331 0.097093
13 1.7479362488 4.728244 -1.482752 -1.095159 3.923437 0.723336 -3.825110 -1.054848 -0.717725 -0.600403 0.910205 -0.794619 4.552008 2.536209 -1.613249 1.540597
14 1.7682715654 4.486200 -0.480286 -1.599736 4.639472 1.030123 -1.211835 -1.936654 0.409817 1.071991 -1.530551 -3.059286 3.702514 4.616640 -1.403219 0.190122
15 2.0027499199 3.112166 -3.839304 -1.694734 4.446576 2.034215 -4.252253 -2.337557 -0.636245 -1.429387 0.287553 -0.806982 4.999971 2.630131 -2.149734 1.658125
16 1.7841308117 4.083899 -2.047057 -2.072202 3.395229 1.890215 -2.724833 -0.598282 -0.857156 -0.958671 -1.143116 -2.527239 4.394564 4.040070 0.911310 0.771082
17 1.7559080124 4.974807 -0.436750 -1.889098 4.313634 1.742476 -3.009058 -1.911881 0.756134 -1.495265 -0.453096 -0.436679 4.842553 2.908977 -0.850717 -0.731884
18 1.7567186356 3.201509 -0.802026 -1.867631 4.058577 1.495699 -2.508705 -2.147336 -0.751181 -0.574653 -1.517157 -0.602491 4.389586 3.817037 -0.420946 0.333274
19 1.7374405861 4.872588 -1.350914 -2.432885 3.230099 1.302806 -2.734104 -1.814650 -0.870329 0.640941 -1.463397 0.647478 4.307504 3.225094 1.517202 -1.600994
20 1.7371947765 4.924972 -2.429037 -1.126371 4.107369 1.595263 -4.199796 -1.193234 -1.510866 -0.015946 -1.634408 -1.190072 3.680645 2.994304 -0.721438 0.813740
21 1.7347801924 4.968822 -1.358896 -1.961788 4.014066 3.273915 -3.419416 -1.499935 -1.089048 -1.023263 -1.733903 -0.894017 4.413649 2.806530 -0.138630 -0.859853
22 1.7404130697 4.663313 -1.334044 -2.783637 4.531698 0.954886 -2.795130 -0.864458 -0.435605 0.210729 -0.387942 -2.199035 4.662812 3.811484 -2.689712 0.111032
23 1.7454780340 3.939313 -1.215880 -2.393834 4.847407 2.274526 -2.608954 -1.713340 -0.968908 -0.164946 -0.651042 -1.030399 3.619178 3.412082 1.257799 0.341501
24 1.7472720146 4.771841 -1.664537 -2.637800 3.117068 0.574125 -1.314563 -1.303624 -0.829988 -1.709965 1.143475 -1.246877 3.670668 4.327740 -0.151100 -0.032918
25 1.7925189734 3.934376 -1.759581 -2.738704 3.734985 2.264102 -3.718398 -1.866510 1.045222 0.170595 -0.869691 -0.142615 2.733974 3.871318 0.119629 -0.256429
26 1.8265390396 3.907953 -2.093558 -1.513117 3.803300 2.258076 -2.174910 -0.540736 -1.670513 1.967295 -1.611300 -0.549423 4.949688 3.158971 -0.697556 -0.424307
27 1.8885128498 3.783566 -1.220233 -2.708028 4.053525 3.209385 -3.077563 -0.658243 -1.020809 0.446648 -1.772112 -1.759931 4.983485 1.852970 -0.140075 -0.395701
28 1.7578027248 3.887661 -1.001640 -1.798193 4.910878 3.110650 -2.418093 -0.641886 -0.345559 -0.407626 -1.728731 -1.373870 4.691586 0.818539 -1.199435 -0.452617
29 1.8396961689 4.895126 -1.505848 -1.123931 4.652445 3.033930 -4.231647 -1.328631 -1.305886 0.414781 -1.860572 0.209766 4.832167 0.878412 -0.843693 -0.712311
30 1.7518506050 3.954434 -2.097835 -1.657917 4.135936 1.215441 -3.309806 -0.724449 -1.029751 0.091189 -2.278492 -1.597812 4.649621 2.993981 0.586334 -0.846753
31 1.7491867542 4.950738 -2.192998 -1.460782 4.884045 1.462683 -4.322372 -1.560829 -0.298422 -0.222367 -1.558011 0.224751 4.981198 3.232503 -0.720229 -1.050586
32 1.8187428713 4.160063 -0.961388 0.471859 4.915158 1.564974 -2.189941 -1.542727 -1.905181 -1.003551 -0.191220 -1.764782 4.075391 1.942862 -0.247514 0.957604
33 1.7030470371 4.997840 -1.487929 -1.344927 4.889611 2.948586 -3.006545 -0.704965 -0.824907 -2.363126 -1.770330 -0.152134 4.349292 3.700308 0.466693 0.553709
34 1.7453672886 4.790954 0.206959 -1.257420 3.079559 2.977749 -1.887140 -2.225819 -0.449256 0.969393 -0.548946 -0.043712 2.432608 2.733568 0.136023 0.261628
35 1.8146345615 4.328773 -1.084905 -2.087756 4.317371 1.279482 -4.310127 -0.886352 0.654377 -0.138765 -1.944772 -0.339098 3.453449 1.788239 0.700260 1.365995
36 1.8436284065 4.982088 -1.148201 -2.110096 3.621941 3.863446 -2.727877 -2.864130 -1.374163 -0.626935 -0.952492 -0.985189 4.927093 1.949469 0.279721 -2.250318
37 1.7137893438 4.818673 -1.487427 -0.771484 4.963313 3.010571 -3.717401 -2.242259 -0.216611 0.791731 -0.818014 0.137906 3.875404 4.049986 -0.239217 -2.177180
38 1.7062920332 4.985541 -0.087221 -1.502545 4.659447 2.096233 -2.487861 -0.520845 -0.912733 -1.056927 -1.000041 -0.719727 4.110116 3.524540 -1.447749 0.087497
