evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 1.8338752985 2.427809 -0.377302 3.492774 -3.275538 -3.518006 -3.226965 0.141768 -1.157775 -1.335691 -2.644908 -4.426533 3.359383 3.062585 1.281029 2.563993
2 2.9827682972 -0.414556 0.798721 -1.801021 -2.357854 0.462836 -3.499514 -0.494381 -0.923321 -1.903457 0.257537 0.913213 2.485045 -1.884079 0.390294 1.409094
3 2.1628835201 -1.526035 -3.452442 -3.008787 -3.217160 -1.537361 1.243429 -0.798923 4.598609 2.936310 4.630902 2.854589 -3.988336 0.853282 1.213396 3.283255
4 1.9655522108 3.606396 -3.939533 -0.692689 4.324507 -3.947321 3.895673 -3.537998 -2.704088 -3.216969 -3.254153 -0.764643 1.548599 -2.012850 2.392171 2.457419
5 2.4881799221 -1.411911 1.066880 -3.491880 0.377532 3.764778 4.719051 -2.889126 -0.247152 -2.305858 -3.965210 -0.241108 -2.534043 -2.873529 -1.660184 -2.286352
6 2.2882936001 -1.186602 -0.865409 -2.033942 -1.482520 -0.292084 0.586615 -3.859922 -4.752215 -4.128267 -1.690822 -2.030326 2.741302 1.490334 -4.126297 -4.765820
7 1.7579282522 -4.340024 0.383736 -1.243205 1.108863 -1.031876 0.274898 3.503406 0.244488 4.098217 3.295914 -4.720247 3.560117 1.865458 -3.242618 -0.195749
8 3.3520619869 0.146916 -0.562542 2.354713 1.388913 3.423859 -1.892725 -1.266994 3.084450 -4.047596 1.307368 -3.920966 4.753493 -3.082416 -1.977762 -3.886692
9 1.6779882908 -2.753421 -3.169126 2.701448 -1.432749 4.518604 -2.577340 1.827268 4.843977 2.718197 2.072048 -1.098811 -2.861460 3.491604 2.569634 -1.157961
10 1.9515287876 -2.333756 1.695187 3.681324 2.583201 -4.283668 2.550192 2.649627 1.080696 -0.814800 0.634361 -3.206872 0.072974 -0.346522 -3.068895 -3.947656
11 1.7088205814 3.934943 4.869355 0.228689 -4.945933 -2.625568 1.898545 3.261724 0.451997 -3.491796 2.316353 3.495001 -3.378549 -0.697214 -2.655026 -2.854090
12 2.9818844795 0.011606 3.752055 -2.834394 -1.007000 0.240812 2.315689 1.929897 -3.871347 -2.711307 4.454858 4.570012 4.379953 4.969490 -1.749988 -1.857548
13 3.3497433662 -0.178530 1.319243 4.938548 3.368480 1.095724 -4.775789 -0.139163 -4.899625 3.230554 -0.575839 3.117885 -1.392845 2.296477 1.935568 -2.097134
14 2.1627287865 -1.673712 -4.368516 -2.152890 1.504871 3.647028 -1.568674 -2.234371 -0.031134 1.644311 -3.884095 -0.094459 3.744105 4.551979 2.909843 1.754929
15 1.8327697515 4.720017 1.978085 1.391669 -3.716896 -4.418137 0.529158 3.782441 3.521496 1.246583 -3.459750 -3.731456 -4.414382 -1.432584 1.540094 0.915277
16 2.5509648323 0.755503 2.915923 1.035017 -2.638672 -4.577754 0.100425 4.631890 4.371862 0.544773 2.519733 -2.403476 -1.466653 4.300345 -3.928031 2.813911
17 2.9991085529 -0.719888 3.963515 0.974624 -2.245243 -4.801085 -4.166338 4.133686 -3.990669 -1.854593 1.885881 -2.596776 1.877694 -3.440283 0.556262 3.571182
18 3.1398906708 0.450737 3.258382 -4.572373 4.797370 -1.728374 3.243942 -4.915277 -2.495679 -2.980530 0.932420 3.793040 4.236750 -3.534747 -4.405593 -0.769621
19 1.7762079239 3.099187 -2.462156 -3.398112 3.051982 2.809417 2.930882 2.433583 0.795588 4.921589 -4.457914 -3.228907 -1.984367 -3.995719 -3.784318 4.492375
20 1.6743255854 4.385525 4.264637 1.858511 2.356746 3.101421 4.847614 1.574425 -2.858537 -4.790507 4.957365 -3.652598 2.834221 4.061339 -0.746552 4.704144
21 1.6983886957 -3.155041 -4.738123 4.081302 3.783657 -2.199127 3.449294 3.954444 -1.785381 2.067811 -2.061524 2.345849 -4.138648 0.647406 -3.519772 -0.087440
22 2.1067824364 -2.050879 -3.444368 2.149362 -1.751536 0.563338 -1.046155 2.905726 4.055612 0.269286 4.320536 -2.166426 -2.313783 -3.747000 -1.257901 -3.390756
23 1.7978736162 3.236637 0.116156 0.760462 -4.745988 -3.167868 3.700777 1.087972 1.764581 -4.355977 -2.492811 1.936652 -3.828466 2.932440 0.316360 4.151472
24 1.8140273094 -3.840999 3.010400 -0.157813 0.564522 -3.241723 -0.353274 1.352915 1.971092 3.068685 -0.967702 -2.990012 2.135353 -1.502918 3.200763 -0.806230
