evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 3.0176637173 -0.618742 0.213031 -4.155890 -4.565600 -2.911342 -1.488122 -3.859239 -0.357287 -0.462843 3.193069 0.555135 -0.580579 -3.877714 -1.858761 2.487007
2 1.7018311024 -3.996668 -3.010792 3.509471 -3.685021 2.067708 -3.894193 0.360739 -4.031978 -1.486970 4.909500 3.967777 -1.593460 3.449585 0.624598 -3.991931
3 3.2887122631 0.502259 1.625893 -0.308597 -0.687488 1.508517 0.588555 2.927517 1.680102 -1.141115 4.693854 -2.468437 -3.529504 1.895358 -4.217698 -4.814959
4 1.8398163319 -4.822176 0.160768 3.632883 0.323626 -3.691318 3.344901 -2.775227 -1.983546 -0.085013 -1.162225 -1.778332 -3.792808 0.725844 -2.070729 -4.577134
5 3.4386246204 0.362228 0.653760 4.297771 -0.117240 -0.586993 -0.246605 -3.472970 -1.534516 4.797048 2.897347 0.428019 3.123561 -3.129661 -3.349829 1.050086
6 1.6662888527 2.925685 -1.751705 0.910529 -3.159577 4.545941 -0.365874 -1.676948 2.497707 4.860765 1.523577 3.352312 2.925567 3.510670 -0.417184 0.993186
7 2.6825962067 0.777559 0.746493 4.338028 -3.647457 4.621546 -4.152340 -3.408871 3.343130 1.252928 -2.151869 3.386409 -1.522057 0.087316 -1.248939 -2.959610
8 2.3750207424 -1.898883 2.476032 -3.774988 -2.196093 1.475886 -0.172188 4.938300 3.280177 1.567527 0.652490 -3.825116 0.097595 4.734439 -4.715182 -0.590684
9 1.9753583670 -2.486257 4.472854 2.884607 -0.529945 2.869217 -4.263472 -4.728099 -1.872910 3.325709 -0.229259 -0.488650 -0.844009 -3.029297 -1.944850 -1.572240
10 1.8540480137 -4.271729 3.614634 -1.662866 3.120272 -3.515045 -0.778549 -4.314915 -1.792022 -0.582747 -0.640263 -3.331656 -3.432771 2.183096 -3.594029 -4.324610
11 2.0535035133 1.780203 1.690672 1.616773 0.885522 -2.633129 -2.885514 -3.192998 4.472467 0.804436 2.371435 -1.015515 2.497327 2.914924 -1.521358 0.005690
12 1.7613582611 -4.046430 -4.354516 -2.096422 1.686230 -3.590347 -3.674138 2.667713 2.820466 0.696424 -0.182699 -4.518955 -0.219663 -2.885703 3.629433 -0.644472
13 2.2029814720 2.714902 4.906388 -4.797543 3.019541 4.711510 3.761821 2.059236 4.344741 0.961418 0.590923 2.164602 -1.659845 -0.317324 2.882024 -4.473544
14 1.7766671181 -4.823666 4.763168 2.441784 -2.014614 -0.948046 -3.943019 3.165267 0.115435 4.043998 -2.459907 -3.635246 -0.959555 -3.569067 0.280111 2.014890
15 1.8711196184 2.148470 0.909299 3.381457 3.068390 3.506097 3.588908 -2.926447 1.508940 -2.336066 -3.715279 -0.350051 4.756811 2.786129 1.837500 -1.299973
16 3.1825058460 0.134223 -2.101175 -4.553075 -1.526669 -0.816317 1.700117 1.362393 -4.308431 -1.189309 -2.644234 1.876570 -4.546007 -3.940052 -0.869154 -4.980855
17 2.1605896950 -1.526243 2.052878 -2.333928 -3.904774 0.931809 -0.872447 0.632843 -4.885806 -1.255667 3.039940 -1.866800 1.566016 0.910977 3.208617 4.483638
18 1.8718687296 4.204274 4.285213 2.758207 -0.030693 -0.069535 -0.737468 -3.588664 1.477613 1.352570 -0.665024 3.251689 1.508519 -4.682403 -0.544248 -3.802237
19 2.2816321850 1.586053 -2.979429 0.390849 -0.158635 -3.035246 -4.534818 -2.031126 4.705397 1.692563 -0.253063 -2.113308 -3.147916 4.617075 0.703229 -3.693791
20 1.8025212288 -3.709280 2.870441 4.564508 3.962934 3.363594 -3.466530 3.294838 0.442420 0.825715 -4.880055 -3.569732 3.738512 0.643252 -4.306637 -4.744393
21 1.7521747351 2.800797 -2.002850 2.135206 4.802933 2.409688 -0.522607 -0.016709 -0.095533 2.558907 4.605395 3.178589 3.370207 -0.036682 -2.247404 -1.327855
22 1.8249263763 -3.463786 4.427593 -2.660228 0.161463 1.717756 3.973205 2.093224 -0.510753 3.130568 -4.737219 -4.180879 -3.705762 3.409811 0.865676 4.680916
23 1.7524174452 3.942912 4.966725 1.771309 4.883576 1.213638 -2.190986 -0.537344 -2.386023 3.867759 3.257339 0.703776 -4.776141 -4.390893 3.313329 1.937480
24 1.7002784014 -3.548478 3.356719 3.755387 -3.425083 2.772546 2.790320 2.416056 -4.668322 4.224166 3.363664 -0.703849 4.837836 1.042481 -2.984069 3.994030
25 2.5008289814 0.866371 4.191228 2.501169 -2.865414 -0.407556 2.614749 -1.657039 -3.229790 0.006010 1.688881 -2.196910 -4.824682 3.785862 -1.713772 1.442257
26 1.8259023428 4.567092 -4.002831 4.039325 4.644719 1.930846 3.034801 1.155335 4.795896 3.945769 -3.976333 0.574503 1.237034 0.441436 0.125906 -4.243470
27 1.8756427765 3.204721 -3.416534 -2.965896 2.112174 -4.455714 1.540777 1.024692 -4.747085 2.140309 -0.901101 4.202896 3.154928 -2.932233 2.801320 -1.122823
28 2.6154587269 0.601875 -1.654714 0.062857 4.309931 -0.162394 4.312716 -4.178767 -4.469900 0.879946 -2.964031 2.346970 2.142042 -4.462320 -4.341180 4.420156
29 2.8768858910 -0.563329 4.349680 0.423530 -2.662187 -0.058792 -3.617905 3.585643 4.536059 1.883858 -1.922701 0.776180 0.432422 -1.445696 3.510397 2.321229
30 3.1720254421 -0.691864 3.756367 -4.323852 -1.276074 4.451089 -4.448802 -4.942317 0.791037 -3.174312 1.350038 -4.989282 4.106201 1.962954 2.064535 1.864280
31 3.5062875748 -0.291047 2.758877 -0.506690 -0.401426 2.450317 -0.100126 -2.362722 -4.122367 1.134577 -4.205192 -4.401292 1.459505 2.880759 2.274611 -1.832365
32 1.9142481089 -2.922408 3.831024 -1.815872 -3.244110 2.207628 -4.008052 4.749072 2.123797 1.647405 -2.802049 -2.534614 -3.597320 -4.027460 -3.223268 -2.412942
33 1.8243422508 -4.628934 3.688317 3.690567 -1.101637 -2.829648 -0.507143 4.290671 1.734328 2.160588 -4.655153 4.802889 -4.794378 -3.521317 -4.452039 -3.071502
34 1.7234580517 4.863046 -1.122261 -1.230059 -4.384036 4.144511 1.179687 -0.915410 3.038129 -0.710277 -0.747867 0.024747 1.727913 -4.372955 -2.596337 3.841968
35 2.5297644138 -0.974125 4.852143 1.976812 -3.723796 3.247842 0.129382 -4.283972 -1.621263 -1.683473 -1.635721 0.415651 -4.469411 -1.290132 2.646743 1.116577
36 3.3382945061 -0.763993 -4.175462 -4.934052 -0.442452 -2.735156 4.750238 0.952513 -4.638475 -2.943397 4.988327 1.214241 0.834121 -0.251560 -4.589937 4.759969
37 2.3450520039 -1.483196 -3.882523 -2.034790 2.739023 2.291906 -4.077442 -2.013656 -3.091244 4.555918 -2.351513 -0.748686 -1.020722 1.450646 -3.832995 2.796081
38 1.7259104252 -2.791569 2.692189 1.545212 -3.526725 4.049261 -2.733221 -1.570821 4.905360 3.043718 1.991305 -0.654407 2.376489 -0.164896 0.222829 1.221515
39 1.8046718836 4.909317 4.123355 -1.733872 3.498624 1.100586 4.814720 1.946586 3.946235 -4.124323 -1.474153 -0.284001 4.641307 2.214287 2.481284 2.135794
40 2.1175515652 -1.600213 1.814386 -0.047760 -1.893471 4.335234 0.895267 -2.972816 -0.150332 -4.423633 0.236547 0.986311 3.448115 3.559572 2.108507 1.504477
41 2.0504467487 -4.963025 4.671486 -3.861224 2.544639 -0.879439 -1.575797 -4.225352 -1.312653 3.780875 -2.734485 4.543630 2.056579 1.443966 -1.208189 2.166003
42 1.9583578110 4.175137 -3.251796 2.553983 -2.476470 -4.988778 4.834975 -2.726783 3.714100 -4.221675 -2.864633 -1.504423 0.655991 -3.905433 3.084043 4.359567
43 1.6703492403 -4.593660 -4.460804 1.011851 -3.960707 -4.880270 4.157745 -1.346085 -3.402481 -4.410634 4.196932 3.097326 -0.469476 -3.201694 1.491314 -0.325833
44 1.7180632353 -3.395935 1.911213 4.279503 4.840643 3.998165 2.127893 0.377809 4.776761 -4.175329 -4.783836 0.327011 -2.348157 4.304877 2.971008 1.686640
45 1.8152946234 -2.421763 -4.511607 -1.409426 3.780707 0.443946 2.325354 3.903504 -3.880312 -0.939711 0.985323 2.839934 4.218260 1.342308 -2.162201 3.722957
46 1.8311501741 -3.152181 3.294669 -1.030362 4.744680 -3.751211 1.607372 -3.642221 -1.437720 -1.389841 -0.447576 1.623941 -3.874960 -3.694629 -1.804393 3.560227
47 2.2449588776 1.532437 -3.162165 0.573884 -1.940431 0.683624 4.935201 -0.815358 3.163319 0.539251 -1.537336 -2.222985 3.653938 0.679726 1.740469 -1.654673
48 1.8008775711 3.777558 3.481090 4.087636 -1.774279 -2.270991 3.872336 -3.347989 -4.370075 -3.649556 -1.206180 -2.351519 -2.813062 4.795826 4.187753 -3.217696
49 1.6642243862 -4.685687 0.850749 0.553611 -4.540998 4.928445 -2.570557 -4.767753 -3.490263 -2.027824 -1.703376 2.123468 0.485223 -4.903678 1.233561 2.571783
50 1.9332199097 4.152367 -3.310636 -4.507208 1.167446 -2.888038 3.267753 -3.080348 -1.150498 0.585798 3.105642 -0.612303 -2.658990 -1.200039 2.850603 1.262378
51 1.9739216566 -1.998428 -3.801520 -0.466637 4.933450 0.625457 -2.433493 2.711580 -3.953489 2.902677 -0.415848 4.480713 1.208681 0.000050 3.953323 1.378636
52 1.8587349653 1.898798 -2.325259 -1.930943 4.528204 4.201953 -2.855387 -0.261807 -3.396023 -2.262168 -2.578665 4.073655 0.920083 -4.313260 -2.894161 0.766172
53 2.1686527729 1.461779 -0.892755 -1.955206 -4.490410 0.401013 -4.695336 -3.912574 0.260028 -1.015634 1.582885 -0.992079 -2.094293 2.322562 -3.928419 2.887291
54 1.7897061110 4.791874 -3.722677 -1.155588 -4.865550 -1.838037 3.553699 -4.826567 1.561959 -3.723955 -4.170075 -2.271900 -1.862526 4.856572 2.546451 3.650109
55 2.9908220768 -0.064313 3.261983 0.067131 -3.818910 -4.044582 -2.097090 -0.036384 -3.711574 1.726718 3.828046 3.017765 -0.766349 2.037377 -1.418458 0.910189
56 3.2939543724 -0.005219 -3.388009 -2.931917 1.550413 -2.532579 0.820901 0.871844 3.410271 1.423882 0.268333 -1.124444 1.632271 -4.969726 -0.664051 -1.205228
57 1.8475064039 -2.649920 -1.479101 1.250023 0.764325 -2.117555 -0.579308 -2.140371 2.694573 3.532418 -2.549201 4.129957 3.082201 -4.152223 2.403596 1.657902
58 1.9580000639 3.302278 0.629124 -3.248670 1.296778 1.041570 -2.011234 -2.174544 3.601225 -0.670186 0.537082 0.099984 2.671200 0.842666 3.134587 0.801343
59 1.7865591049 -3.614103 -4.085871 2.944426 0.226229 -1.862367 4.654174 -1.773874 2.687118 2.517073 1.101376 -0.599358 -4.906865 0.928864 -0.511057 -3.663722
60 1.7818677425 3.435350 3.009569 -2.898870 -2.899881 -1.002523 2.050634 -4.501368 -2.742755 2.201766 4.323327 -4.307887 -1.694337 3.628691 1.965873 -3.023350
61 1.8619488478 2.665759 3.919378 1.184780 -1.747995 0.240626 1.163126 4.909743 1.223644 -4.910319 -4.973893 -3.149301 -2.028650 -0.506363 3.784256 -2.200234
62 1.8287365437 -3.259061 1.436961 -1.094541 -2.265326 -3.073766 3.180976 -1.742438 3.814146 -0.844051 -3.795352 -0.312043 3.705142 -2.417430 -2.201350 -3.712663
63 1.9380794764 1.968494 -1.529213 -3.456747 2.717335 -3.376107 3.067863 0.246194 -3.134225 -4.101401 2.925989 -1.267403 1.267566 -4.743558 -1.643976 -3.779903
64 1.9546415806 1.820672 4.306712 2.841869 -4.881043 3.654950 0.358807 1.827171 -0.002439 -4.544804 -3.007297 -4.369720 0.587430 3.095021 2.569276 -4.620001
65 1.8680930138 -3.323617 1.765371 1.687847 0.040515 -0.995967 -4.211567 2.301897 -0.299679 -1.902440 -3.190978 0.884035 2.848016 -1.403408 -3.942598 -1.682428
