evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
1 3.0213880539 0.597374 1.911443 -1.226767 -0.863966 -2.499353 -0.584275 2.294305 -1.807435 -3.628991 -4.128539 3.277719 3.046946 2.421107 2.590409 -3.451668
2 2.1545450687 -5.264375 -2.636872 -11.476964 0.336074 -2.244811 -6.660525 3.654728 -9.651985 1.656474 3.761997 11.794708 -2.096447 16.825850 18.592535 -1.830779
3 3.3386797905 -3.940691 4.572257 -12.818584 3.913730 5.555731 -18.462823 -0.638767 -10.058614 -1.716145 4.141664 20.760449 -21.027968 18.449836 18.980461 -16.425030
4 2.6461641788 -20.709021 -7.449864 -6.960467 -1.277781 -14.585628 5.652759 -3.022211 -23.191339 -1.195151 9.074602 7.012355 4.732069 6.109181 35.976516 -5.574394
5 2.1482222080 -16.284028 0.959397 -20.187616 0.422162 11.259646 -4.416273 12.798582 5.805226 8.277937 -11.842157 25.533567 -1.571380 -4.581914 -7.846515 14.213185
6 2.3290266991 2.870768 -0.178241 -13.192812 -15.625543 3.538299 -3.798051 36.411934 8.429545 1.460871 -9.447019 28.255951 -1.164763 -3.408743 -10.067252 16.844160
7 2.8817021847 -5.599808 0.229378 -11.029427 2.764621 -7.947560 9.717465 -0.809499 -15.591540 -0.060004 1.517951 23.465036 -23.670324 3.084672 -4.684968 -9.099562
8 2.2011537552 -30.921738 -16.842834 -34.467756 0.736547 36.717799 -6.469519 12.746667 18.401477 8.864074 -0.724358 38.128191 -1.811713 -2.051218 -15.964005 38.786969
9 1.9827928543 -11.418007 11.511137 -23.673127 17.850954 2.863883 1.947762 7.037342 -21.177219 7.369450 -14.949369 20.217226 -4.645089 8.547010 -21.383476 27.606446
10 2.0759193897 -13.082062 29.039932 -18.559524 26.180910 28.927932 13.700601 3.088341 -5.536751 -7.780938 2.145986 34.335537 -11.136675 -2.907375 -24.421907 12.056585
11 2.7096514702 -15.047234 21.114984 -35.316572 30.818776 4.518308 3.674711 11.925051 -32.373011 13.233401 -16.380013 8.025113 -18.369235 14.070432 -12.527282 30.010998
12 2.7041852474 -8.518107 12.307708 -26.911087 30.245801 0.069335 -0.940454 10.735214 -24.030371 12.525195 -30.020454 19.152439 -16.311078 3.662894 -3.929734 38.843741
13 2.1199398041 -23.257956 6.082465 -4.339493 20.269820 -10.753470 -3.105543 2.698792 -13.806856 1.162176 -32.272141 27.835889 -0.202818 14.512965 -26.198339 34.096345
14 2.7282631397 -10.512360 14.926283 -17.646693 8.912917 1.535970 6.825981 -0.309765 -14.139485 -5.776654 -3.832417 31.875118 -13.183069 14.651129 -21.861117 38.311924
15 1.8169610500 -9.733090 9.478045 -5.068105 14.537390 -4.007201 17.517944 18.234439 -21.175831 0.672409 -10.225715 20.064723 11.147807 4.716518 -28.755865 -7.966860
16 1.9770470858 -10.536015 8.545039 -4.118975 21.704479 4.700539 15.583142 9.494766 -0.393311 1.039502 -11.820770 12.365710 10.282856 11.295349 -32.628810 2.651507
17 1.8976764679 -8.907385 3.370247 -8.640750 6.325027 -8.357593 8.058691 19.402744 -27.184970 -23.447084 -12.545771 9.429249 28.931818 2.424318 -48.580191 -20.224461
18 2.0528080463 -8.150588 0.673917 5.422617 -1.532901 21.403753 45.163130 24.014320 -25.961722 -26.910158 -32.097215 26.757038 -1.946170 7.894343 -33.448250 -19.472544
